qid_qword, qwordDfByDayBeforeQuery 
day	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	
MB1_bbc	202	245	151	182	247	259	275	225	175	150	176	203	209	228	239	164	50	
MB1_world	75	79	71	106	194	146	165	198	186	242	342	293	292	428	411	410	167	
MB1_servic	168	150	133	135	177	220	189	211	179	156	256	236	196	276	227	193	83	
MB1_staff	161	122	103	144	167	170	154	161	125	114	158	158	156	189	164	112	40	
MB1_cut	269	479	466	387	408	449	486	480	418	431	555	552	547	622	504	443	209	
MB10_egyptian	599	453	130	146	57	21	8	0	0	0	0	0	0	0	0	0	0	
MB10_protest	711	747	295	317	223	107	76	0	0	0	0	0	0	0	0	0	0	
MB10_attack	256	359	278	336	361	327	192	0	0	0	0	0	0	0	0	0	0	
MB10_museum	139	103	101	99	73	87	68	0	0	0	0	0	0	0	0	0	0	
MB11_kubica	6	0	19	5	1	4	0	1	0	1	2	0	0	2	0	0	0	
MB11_crash	219	188	225	216	207	190	181	194	189	196	195	186	184	175	51	0	0	
MB12_assang	118	26	22	25	37	28	38	27	10	0	0	0	0	0	0	0	0	
MB12_nobel	18	15	16	30	23	14	17	19	8	0	0	0	0	0	0	0	0	
MB12_peac	385	407	354	382	321	326	369	361	248	0	0	0	0	0	0	0	0	
MB12_nomin	559	350	303	434	475	616	1106	478	369	0	0	0	0	0	0	0	0	
MB13_oprah	133	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MB13_winfrey	27	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MB13_half	1130	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MB13_sister	701	396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MB14_releas	564	550	342	349	542	569	525	599	534	429	127	0	0	0	0	0	0	
MB14_rite	389	324	333	329	350	395	360	367	378	327	157	0	0	0	0	0	0	
MB15_thorp	5	1	1	2	2	4	2	0	0	0	0	0	0	0	0	0	0	
MB15_return	311	385	427	401	405	434	342	125	0	0	0	0	0	0	0	0	0	
MB15_2012	160	243	287	251	286	288	252	83	0	0	0	0	0	0	0	0	0	
MB15_olymp	40	43	46	52	46	55	45	16	0	0	0	0	0	0	0	0	0	
MB16_releas	473	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MB16_unknown	83	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MB17_white	1016	768	918	740	811	964	1092	1113	1031	1153	656	0	0	0	0	0	0	
MB17_stripe	180	32	31	23	31	31	28	29	41	40	20	0	0	0	0	0	0	
MB17_breakup	12	11	11	9	7	20	19	10	17	12	6	0	0	0	0	0	0	
MB18_william	274	226	234	77	0	0	0	0	0	0	0	0	0	0	0	0	0	
MB18_kate	125	110	89	19	0	0	0	0	0	0	0	0	0	0	0	0	0	
MB18_fax	21	19	14	5	0	0	0	0	0	0	0	0	0	0	0	0	0	
MB18_save	887	932	773	269	0	0	0	0	0	0	0	0	0	0	0	0	0	
MB18_date	973	960	782	329	0	0	0	0	0	0	0	0	0	0	0	0	0	
MB19_cuomo	14	3	4	5	7	8	22	8	5	8	5	3	3	7	4	1	0	
MB19_budget	182	101	100	162	151	150	202	120	92	99	129	173	234	161	157	96	0	
MB19_cut	532	404	431	401	458	468	494	438	375	490	606	525	657	484	501	420	0	
MB2_2022	10	10	1	1	2	2	4	6	4	4	5	4	9	5	3	4	2	
MB2_fifa	92	92	64	114	114	111	88	83	75	89	93	92	73	88	122	86	68	
MB2_soccer	102	168	174	130	119	140	140	135	99	113	174	93	111	146	146	118	81	
MB20_taco	180	217	212	191	223	213	208	223	287	238	263	382	194	168	80	0	0	
MB20_bell	236	280	264	263	281	288	257	256	348	318	320	444	274	210	70	0	0	
MB20_fill	115	155	196	202	168	153	150	122	173	171	199	260	206	169	35	0	0	
MB20_lawsuit	26	51	55	39	45	51	20	25	77	36	70	103	42	20	3	0	0	
MB21_emanuel	40	52	29	89	135	20	2	0	0	0	0	0	0	0	0	0	0	
MB21_resid	131	137	123	132	137	81	13	0	0	0	0	0	0	0	0	0	0	
MB21_court	252	288	257	321	359	149	29	0	0	0	0	0	0	0	0	0	0	
MB21_rule	399	457	382	488	439	354	47	0	0	0	0	0	0	0	0	0	0	
MB22_healthcar	77	78	34	43	60	34	84	59	49	30	0	0	0	0	0	0	0	
MB22_law	472	372	254	264	331	378	390	415	361	262	0	0	0	0	0	0	0	
MB22_unconstitut	55	67	1	5	5	6	1	0	3	3	0	0	0	0	0	0	0	
MB23_amtrak	12	10	4	3	4	10	7	7	4	6	3	12	10	11	2	5	0	
MB23_train	551	462	340	367	517	643	676	539	459	423	544	670	573	651	628	558	335	
MB23_servic	132	155	144	122	151	212	212	207	185	153	213	266	194	254	243	222	140	
MB24_super	284	2355	765	370	227	251	208	173	186	94	151	137	100	173	170	364	85	
MB24_bowl	280	2346	755	364	218	232	185	151	168	76	113	102	79	135	128	330	36	
MB24_seat	289	321	182	226	222	255	218	230	225	198	214	225	228	301	228	232	130	
MB25_tsa	26	35	19	9	11	18	13	11	27	22	14	4	0	0	0	0	0	
