qid, relevantCountBydayBeforeQuery
day	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	
1	0	3	1	1	2	2	1	1	1	2	2	0	23	24	4	1	0	
10	34	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
11	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13	21	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14	7	13	31	22	16	7	4	3	3	1	0	0	0	0	0	0	0	
15	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17	51	1	1	2	3	0	0	0	3	1	0	0	0	0	0	0	0	
18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19	11	1	2	2	3	7	18	4	0	0	2	0	0	0	2	0	0	
2	2	5	0	0	1	0	0	1	2	0	1	2	2	2	2	1	1	
20	1	1	4	6	5	4	5	10	39	10	21	54	7	0	0	0	0	
21	16	21	7	41	55	0	0	0	0	0	0	0	0	0	0	0	0	
22	69	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23	10	6	0	1	1	9	5	0	0	2	1	5	7	4	2	3	0	
24	23	45	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
25	9	26	3	4	1	1	3	1	11	9	6	4	0	0	0	0	0	
26	25	16	5	4	1	1	0	13	10	16	4	8	2	0	0	0	0	
27	8	15	6	4	2	7	4	8	2	4	4	5	1	0	0	0	0	
28	11	2	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
29	9	12	4	6	12	5	6	2	4	3	6	7	1	5	3	3	0	
3	7	1	1	1	0	2	2	14	2	1	0	1	0	1	0	2	3	
30	74	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	
31	3	1	0	1	0	1	0	1	1	1	2	0	0	0	0	0	0	
32	2	0	3	2	1	1	3	15	27	4	0	1	2	0	0	0	0	
33	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
34	3	1	4	5	0	2	1	4	4	2	4	1	0	0	0	0	0	
35	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
36	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
37	1	0	1	0	0	0	1	16	26	2	17	15	0	0	0	0	0	
38	2	2	2	17	2	0	0	0	0	0	0	0	0	0	0	0	0	
39	37	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	7	6	5	3	8	19	22	11	9	4	5	0	0	0	0	0	0	
40	2	2	0	0	0	2	3	6	2	0	0	0	0	0	0	0	0	
41	3	0	3	7	8	2	7	6	1	0	0	0	0	0	0	0	0	
42	4	0	0	0	0	2	1	1	7	15	0	0	0	0	0	0	0	
43	7	7	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
44	22	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
45	11	5	7	12	13	14	10	4	4	0	0	0	0	0	0	0	0	
46	1	0	0	0	0	2	2	1	2	0	1	0	1	0	0	0	0	
47	2	0	0	1	2	0	3	2	0	1	0	0	1	2	0	0	0	
48	35	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
49	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	6	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	1	0	0	1	0	3	1	0	2	0	0	0	2	1	0	0	0	
7	11	2	1	2	2	12	1	14	4	7	17	13	8	0	0	0	0	
8	3	4	1	1	4	4	2	2	1	4	4	24	5	7	9	14	0	
9	48	3	0	0	1	1	1	1	2	0	1	2	12	69	0	0	0	
