qid, relevantCountBydayBeforeQuery
day	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	
171	57	44	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
172	6	6	38	185	8	8	12	8	2	6	19	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
173	1	2	1	4	0	1	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	2	2	0	0	0	1	1	0	1	1	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	
174	1	0	0	2	2	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
175	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	3	0	0	0	0	3	0	1	0	0	0	2	0	0	1	3	14	122	145	33	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
176	0	0	5	1	4	1	2	2	3	1	2	0	0	2	4	2	2	2	1	2	5	1	5	2	0	0	0	0	1	1	2	0	1	0	3	1	6	1	3	1	0	3	1	0	6	3	0	3	2	4	1	0	3	0	0	1	2	0	0	
177	1	0	1	6	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	11	46	1	1	2	27	10	29	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
178	4	8	28	120	18	22	3	6	8	0	0	0	1	0	1	0	2	9	20	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	
179	2	0	0	0	0	0	0	0	2	4	5	6	1	1	9	4	0	0	1	1	0	0	2	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
180	11	13	15	32	9	19	16	14	8	10	9	7	16	14	16	19	16	7	29	25	9	5	10	12	9	8	12	20	14	11	8	13	16	15	14	8	11	15	9	7	14	13	14	10	17	12	5	8	14	12	11	11	8	11	18	28	18	16	7	
181	10	0	0	0	1	0	0	2	8	0	0	0	0	0	0	0	0	2	2	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
182	23	70	523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
183	11	23	63	95	100	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
184	0	0	0	2	0	0	1	0	0	1	0	0	0	0	2	3	2	2	11	10	55	6	10	34	43	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
185	21	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
186	19	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
187	20	2	0	1	0	0	2	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
188	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
189	0	1	1	1	2	4	1	0	0	1	0	2	3	2	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	
190	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
191	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	30	5	0	4	1	1	0	0	1	1	1	3	1	5	30	1	0	0	0	0	0	0	0	0	0	0	
192	3	6	1	0	0	0	0	0	1	0	0	5	0	2	0	1	0	1	1	2	3	0	1	0	0	1	0	1	1	0	0	1	4	10	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
193	5	0	1	1	3	1	1	2	1	0	1	0	0	1	1	1	2	1	1	5	3	22	50	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
194	1	1	0	0	0	0	0	0	0	2	1	1	2	0	0	0	1	0	2	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	
195	20	3	1	1	2	1	4	0	2	8	2	3	7	16	40	323	2	0	1	1	1	1	1	0	0	0	1	0	0	1	0	0	1	1	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
196	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	8	26	47	1	2	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
197	12	29	14	0	3	6	3	2	9	4	0	0	0	1	3	2	1	1	0	0	2	1	1	1	0	0	1	1	0	0	1	1	1	0	0	2	2	1	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
198	1	1	0	1	0	7	26	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
199	1	0	3	0	7	14	57	13	47	335	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
200	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0	2	0	1	1	4	11	199	34	4	6	0	0	0	0	0	0	
201	7	7	20	108	63	2	0	1	0	9	2	5	4	7	0	0	3	1	0	2	0	0	0	10	5	9	22	5	1	0	2	0	0	1	0	0	2	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
202	9	4	1	8	8	6	2	4	3	11	5	2	1	5	2	2	5	6	10	4	6	5	26	4	11	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
203	3	5	1	0	4	7	6	1	1	1	0	2	2	1	2	1	0	1	0	2	1	5	1	4	1	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
204	2	3	7	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
205	1	0	0	0	0	6	88	77	2	1	2	5	16	1	0	0	0	0	0	0	1	0	0	1	3	1	5	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
206	2	1	2	1	0	1	2	4	2	0	4	2	0	1	0	1	3	4	1	1	2	0	1	0	0	4	3	3	1	0	5	1	1	2	0	0	0	1	0	4	0	1	1	0	1	3	2	4	2	2	1	0	0	0	2	2	0	2	1	
207	2	7	83	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
208	405	1	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
